date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:31	87810/87810	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/index.html	(from )
15:58:32	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2010%20Mar%202025%2013:58:32%20GMT	https://agrimo-demo.pbminfotech.com/robots.txt		(from )
15:58:34	10926/10926	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/images/fevicon.png	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/images/fevicon.png	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:36	193488/193488	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/bootstrap.min.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/bootstrap.min.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:37	38957/38957	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/fontawesome.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/fontawesome.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:38	5917/5917	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/flaticon.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/flaticon.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:40	15416/15416	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/pbminfotech-base-icons.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/pbminfotech-base-icons.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:41	17532/17532	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/themify-icons.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/themify-icons.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:43	15576/15576	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/swiper.min.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/swiper.min.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:44	7232/7232	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/magnific-popup.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/magnific-popup.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:46	26053/26053	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/aos.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/aos.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:48	120973/120973	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/shortcode.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/shortcode.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:49	23363/23363	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/base.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/base.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:51	38278/38278	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/style.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/style.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:52	56344/56344	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/css/responsive.css	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/css/responsive.css	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:54	87810/87810	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/index.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/index-2.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:55	5624/5624	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/images/logo-white.svg	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/images/logo-white.svg	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:57	79797/79797	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/homepage-2.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/homepage-2.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:58:59	103682/103682	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/homepage-3.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/homepage-3.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:01	52943/52943	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/about-us.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/about-us.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:02	25829/25829	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/our-history.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/our-history.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:03	35059/35059	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/our-team-member.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/our-team-member.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:05	30693/30693	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/team-member-detail.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/team-member-detail.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:07	41607/41607	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/faq.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/faq.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:08	33926/33926	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/services.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/services.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:10	37505/37505	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/service-details.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/service-details.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:12	23202/23202	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-masonry-col-2.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-masonry-col-2.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:13	23913/23913	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-masonry-col-3.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-masonry-col-3.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:15	23256/23256	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-masonry-col-4.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-masonry-col-4.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:16	23164/23164	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-grid-col-2.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-grid-col-2.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:18	23875/23875	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-grid-col-3.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-grid-col-3.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:20	23262/23262	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-grid-col-4.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-grid-col-4.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:22	24569/24569	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-sortable-grid-col-2.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-sortable-grid-col-2.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:23	24569/24569	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-sortable-grid-col-3.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-sortable-grid-col-3.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:25	24676/24676	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-sortable-grid-col-4.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-sortable-grid-col-4.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
15:59:26	27568/27568	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2004:57:18%20GMT	https://agrimo-demo.pbminfotech.com/html-demo/portfolio-detail.html	/Users/adonis/websites/site00/agrimo-demo.pbminfotech.com/html-demo/portfolio-detail.html	(from https://agrimo-demo.pbminfotech.com/html-demo/)
